"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/amenityFeature","amenityFeature","An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.","","","","http://schema.org/Accommodation, http://schema.org/LodgingBusiness, http://schema.org/Place","http://schema.org/LocationFeatureSpecification","","",""
"http://schema.org/amount","amount","The amount of money.","","","","http://schema.org/DatedMoneySpecification, http://schema.org/InvestmentOrDeposit, http://schema.org/LoanOrCredit, http://schema.org/MoneyTransfer","http://schema.org/MonetaryAmount, http://schema.org/Number","","",""
"http://schema.org/amountOfThisGood","amountOfThisGood","The quantity of the goods included in the offer.","","","","http://schema.org/TypeAndQuantityNode","http://schema.org/Number","","",""
"http://schema.org/annualPercentageRate","annualPercentageRate","The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.","","","","http://schema.org/FinancialProduct","http://schema.org/Number, http://schema.org/QuantitativeValue","","",""
"http://schema.org/answerCount","answerCount","The number of answers this question has received.","","","","http://schema.org/Question","http://schema.org/Integer","","",""
"http://schema.org/application","application","An application that can complete the request.","","","","http://schema.org/EntryPoint","http://schema.org/SoftwareApplication","","","http://schema.org/actionApplication"
"http://schema.org/applicationCategory","applicationCategory","Type of software application, e.g. 'Game, Multimedia'.","","","","http://schema.org/SoftwareApplication","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/applicationSubCategory","applicationSubCategory","Subcategory of the application, e.g. 'Arcade Game'.","","","","http://schema.org/SoftwareApplication","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/applicationSuite","applicationSuite","The name of the application suite to which the application belongs (e.g. Excel belongs to Office).","","","","http://schema.org/SoftwareApplication","http://schema.org/Text","","",""
"http://schema.org/appliesToDeliveryMethod","appliesToDeliveryMethod","The delivery method(s) to which the delivery charge or payment charge specification applies.","","","","http://schema.org/DeliveryChargeSpecification, http://schema.org/PaymentChargeSpecification","http://schema.org/DeliveryMethod","","",""
"http://schema.org/appliesToPaymentMethod","appliesToPaymentMethod","The payment method(s) to which the payment charge specification applies.","","","","http://schema.org/PaymentChargeSpecification","http://schema.org/PaymentMethod","","",""
"http://schema.org/area","area","The area within which users can expect to reach the broadcast service.","","","","http://schema.org/BroadcastService","http://schema.org/Place","","","http://schema.org/serviceArea"
"http://schema.org/areaServed","areaServed","The geographic area where a service or offered item is provided.","","","http://schema.org/availableAtOrFrom, http://schema.org/eligibleRegion","http://schema.org/ContactPoint, http://schema.org/DeliveryChargeSpecification, http://schema.org/Demand, http://schema.org/Offer, http://schema.org/Organization, http://schema.org/Service","http://schema.org/AdministrativeArea, http://schema.org/GeoShape, http://schema.org/Place, http://schema.org/Text","","http://schema.org/serviceArea",""
"http://schema.org/arrivalAirport","arrivalAirport","The airport where the flight terminates.","","","","http://schema.org/Flight","http://schema.org/Airport","","",""
"http://schema.org/arrivalBusStop","arrivalBusStop","The stop or station from which the bus arrives.","","","","http://schema.org/BusTrip","http://schema.org/BusStation, http://schema.org/BusStop","","",""
"http://schema.org/arrivalGate","arrivalGate","Identifier of the flight's arrival gate.","","","","http://schema.org/Flight","http://schema.org/Text","","",""
"http://schema.org/arrivalPlatform","arrivalPlatform","The platform where the train arrives.","","","","http://schema.org/TrainTrip","http://schema.org/Text","","",""
"http://schema.org/arrivalStation","arrivalStation","The station where the train trip ends.","","","","http://schema.org/TrainTrip","http://schema.org/TrainStation","","",""
"http://schema.org/arrivalTerminal","arrivalTerminal","Identifier of the flight's arrival terminal.","","","","http://schema.org/Flight","http://schema.org/Text","","",""
"http://schema.org/arrivalTime","arrivalTime","The expected arrival time.","","","","http://schema.org/BusTrip, http://schema.org/Flight, http://schema.org/TrainTrip","http://schema.org/DateTime","","",""
"http://schema.org/artEdition","artEdition","The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"").","","","","http://schema.org/VisualArtwork","http://schema.org/Integer, http://schema.org/Text","","",""
"http://schema.org/artMedium","artMedium","The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)","http://schema.org/material","","","http://schema.org/VisualArtwork","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/artform","artform","e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.","","","","http://schema.org/VisualArtwork","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/articleBody","articleBody","The actual body of the article.","","","","http://schema.org/Article","http://schema.org/Text","","",""
"http://schema.org/articleSection","articleSection","Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.","","","","http://schema.org/Article","http://schema.org/Text","","",""
"http://schema.org/artworkSurface","artworkSurface","The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.","","","","http://schema.org/VisualArtwork","http://schema.org/Text, http://schema.org/URL","","http://schema.org/surface",""
"http://schema.org/assembly","assembly","Library file name e.g., mscorlib.dll, system.web.dll.","","","","http://schema.org/APIReference","http://schema.org/Text","","","http://schema.org/executableLibraryName"
"http://schema.org/assemblyVersion","assemblyVersion","Associated product/technology version. e.g., .NET Framework 4.5.","","","","http://schema.org/APIReference","http://schema.org/Text","","",""
"http://schema.org/associatedArticle","associatedArticle","A NewsArticle associated with the Media Object.","","","","http://schema.org/MediaObject","http://schema.org/NewsArticle","","",""
"http://schema.org/associatedMedia","associatedMedia","A media object that encodes this CreativeWork. This property is a synonym for encoding.","","","","http://schema.org/CreativeWork","http://schema.org/MediaObject","","",""
"http://schema.org/athlete","athlete","A person that acts as performing member of a sports team; a player as opposed to a coach.","","","","http://schema.org/SportsTeam","http://schema.org/Person","","",""
"http://schema.org/attendee","attendee","A person or organization attending the event.","","","","http://schema.org/Event","http://schema.org/Organization, http://schema.org/Person","","http://schema.org/attendees",""
"http://schema.org/attendees","attendees","A person attending the event.","","","","http://schema.org/Event","http://schema.org/Organization, http://schema.org/Person","","","http://schema.org/attendee"
"http://schema.org/audience","audience","An intended audience, i.e. a group for whom something was created.","","","","http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/LodgingBusiness, http://schema.org/PlayAction, http://schema.org/Product, http://schema.org/Service","http://schema.org/Audience","","http://schema.org/serviceAudience",""
"http://schema.org/audienceType","audienceType","The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).","","","","http://schema.org/Audience","http://schema.org/Text","","",""
"http://schema.org/audio","audio","An embedded audio object.","","","","http://schema.org/CreativeWork","http://schema.org/AudioObject","","",""
"http://schema.org/author","author","The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.","","","","http://schema.org/CreativeWork, http://schema.org/Rating","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/availability","availability","The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/ItemAvailability","","",""
"http://schema.org/availabilityEnds","availabilityEnds","The end of the availability of the product or service included in the offer.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/DateTime","","",""
"http://schema.org/availabilityStarts","availabilityStarts","The beginning of the availability of the product or service included in the offer.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/DateTime","","",""
"http://schema.org/availableAtOrFrom","availableAtOrFrom","The place(s) from which the offer can be obtained (e.g. store locations).","http://schema.org/areaServed","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/Place","","",""
"http://schema.org/availableChannel","availableChannel","A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).","","","","http://schema.org/Service","http://schema.org/ServiceChannel","","",""
"http://schema.org/availableDeliveryMethod","availableDeliveryMethod","The delivery method(s) available for this offer.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/DeliveryMethod","","",""
"http://schema.org/availableFrom","availableFrom","When the item is available for pickup from the store, locker, etc.","","","","http://schema.org/DeliveryEvent","http://schema.org/DateTime","","",""
"http://schema.org/availableLanguage","availableLanguage","A language someone may use with or at the item, service or place. Please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>. See also <a class=""localLink"" href=""http://schema.org/inLanguage"">inLanguage</a>","","","","http://schema.org/ContactPoint, http://schema.org/LodgingBusiness, http://schema.org/ServiceChannel, http://schema.org/TouristAttraction","http://schema.org/Language, http://schema.org/Text","","",""
"http://schema.org/availableOnDevice","availableOnDevice","Device required to run the application. Used in cases where a specific make/model is required to run the application.","","","","http://schema.org/SoftwareApplication","http://schema.org/Text","","http://schema.org/device",""
"http://schema.org/availableThrough","availableThrough","After this date, the item will no longer be available for pickup.","","","","http://schema.org/DeliveryEvent","http://schema.org/DateTime","","",""
"http://schema.org/award","award","An award won by or for this item.","","","","http://schema.org/CreativeWork, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Product, http://schema.org/Service","http://schema.org/Text","","http://schema.org/awards",""
"http://schema.org/awards","awards","Awards won by or for this item.","","","","http://schema.org/CreativeWork, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Product","http://schema.org/Text","","","http://schema.org/award"
"http://schema.org/awayTeam","awayTeam","The away team in a sports event.","http://schema.org/competitor","","","http://schema.org/SportsEvent","http://schema.org/Person, http://schema.org/SportsTeam","","",""
"http://schema.org/baseSalary","baseSalary","The base salary of the job or of an employee in an EmployeeRole.","","","","http://schema.org/EmployeeRole, http://schema.org/JobPosting","http://schema.org/MonetaryAmount, http://schema.org/Number, http://schema.org/PriceSpecification","","",""
"http://schema.org/bccRecipient","bccRecipient","A sub property of recipient. The recipient blind copied on a message.","http://schema.org/recipient","","","http://schema.org/Message","http://schema.org/ContactPoint, http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/bed","bed","The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property.","","","","http://schema.org/HotelRoom, http://schema.org/Suite","http://schema.org/BedDetails, http://schema.org/BedType, http://schema.org/Text","","",""
"http://schema.org/beforeMedia","beforeMedia","A media object representing the circumstances before performing this direction.","","","","http://schema.org/HowToDirection","http://schema.org/MediaObject","","",""
"http://schema.org/benefits","benefits","Description of benefits associated with the job.","","","","http://schema.org/JobPosting","http://schema.org/Text","","","http://schema.org/jobBenefits"
"http://schema.org/bestRating","bestRating","The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.","","","","http://schema.org/Rating","http://schema.org/Number, http://schema.org/Text","","",""
