stats.criteria.itemtype,COUNT_DISTINCT(domain)
http://schema.org/autoRepair,99
http://schema.org/ParkingFacility,98
http://schema.org/VideoGame,98
http://schema.org/Location,98
http://schema.org/employee,98
http://schema.org/ConvenienceStore,97
http://schema.org/AutoPartStore,96
http://schema.org/blogPosts,96
http://schema.org/Organization/,96
http://schema.org/WindowsPhoneActionHandler,94
http://schema.org/WindowsActionHandler,93
http://schema.org/menu,93
http://schema.org/PawnShop,92
http://schema.org/Description,92
http://schema.org/DietarySupplement,92
http://schema.org/Flight,92
http://schema.org/name,91
http://schema.org/autodealer,91
http://schema.org/UserDownloads,90
http://schema.org/Person/Physician,90
http://schema.org/ProgramMembership,89
http://schema.org/telephone,88
http://schema.org/PhotoGraph,88
http://schema.org/AutomatedTeller,88
http://schema.org/Music,88
http://schema.org/WatchAction,87
http://schema.org/location,87
http://schema.org/Organization%3E,87
http://schema.org/TelevisionStation,86
http://schema.org/CreativeWork/PresentationObject,86
http://schema.org/organisation,86
http://schema.org/AlignmentObject,86
http://schema.org/Product/Computer,85
http://schema.org/SportsOrganization,84
http://schema.org/ProductFeature,84
http://schema.org/LodgingBusinessService,82
http://schema.org/author,82
http://schema.org/DiagnosticLab,79
http://schema.org/PublicSwimmingPool,79
http://schema.org/video,79
http://schema.org/Notary,78
http://schema.org/mobileapplication,78
http://schema.org/OnDemandEvent,78
http://schema.org/HomeandConstructionBusiness,78
http://schema.org/News,77
http://schema.org/PostOffice,77
http://schema.org/Company,77
http://schema.org/InternetCafe,76
http://schema.org/articleBody,76
http://schema.org/PsychologicalTreatment,76
http://schema.org/Clip,76
http://schema.org/RVPark,75
http://schema.org/SubscribeAction,74
http://schema.org/LocalBusiness%E2%80%9D%3E,74
http://schema.org/Mountain,74
http://schema.org/hotel,74
http://schema.org/MedicalDevice,74
http://schema.org/MedicalTest,73
http://schema.org/Continent,72
http://schema.org/MedicalRiskFactor,71
http://schema.org/TheaterGroup,70
http://schema.org/EBook,70
http://schema.org/ProductColor,70
http://schema.org/softwareApplication,70
http://schema.org/ingredients,69
http://schema.org/BuyAction,69
http://schema.org/copyrightHolder,68
http://schema.org/SportsMatch/Football,68
http://schema.org/category,68
http://schema.org/Geo,68
http://schema.org/OwnershipInfo,68
http://schema.org/Logo,67
http://schema.org/%7BCONTENT_TYPE%7D,67
http://schema.org/Geo/,67
http://schema.org/ElementarySchool,67
http://schema.org/userDownloads,66
http://schema.org/LocalBussiness,65
http://schema.org/Zoo,65
http://schema.org/RadioSeries,65
http://schema.org/BowlingAlley,64
http://schema.org/Creativework/Question,64
http://schema.org/Prouduct,63
http://schema.org/ServiceChannel,63
http://schema.org/MovieRentalStore,63
http://schema.org/DeliveryMethod,63
http://schema.org/Creativework/Question/Answer,63
http://schema.org/MiddleSchool,63
http://schema.org/SubwayStation,62
http://schema.org/Class,62
http://schema.org/ReplyAction,62
http://schema.org/TherapeuticProcedure,61
http://schema.org/RentAction,61
http://schema.org/DanceGroup,59
http://schema.org/PlaceOfWorship,59
http://schema.org/BlogPosting/RelatedPosting,59
http://schema.org/Events,58
http://schema.org/PhysicalTherapy,58
http://schema.org/ProductAggregateRating,58
http://schema.org/BodyOfWater,57
http://schema.org/UserTweets,57
http://schema.org/LifestyleModification,57
http://schema.org/GovernmentBuilding,56
http://schema.org/ExerciseAction,55
http://schema.org/Telephone,55
http://schema.org/about,55
http://schema.org/MotorcycleRepair,55
http://schema.org/BusStation,54
http://schema.org/ExercisePlan,54
